name,ghidra_addr,ne_addr,type
rgPalGray,1000:0000,0001:0000,uint8_t[20]
rgengine,1008:0000,0002:0000,ENGINE[16]
rgarmor,1008:04e0,0002:04e0,ARMOR[12]
rgscanner,1008:0768,0002:0768,SCANNER[16]
rgshield,1008:0ae8,0002:0ae8,SHIELD[10]
rgspecialE,1008:0d04,0002:0d04,SPECIAL[17]
rgspecialM,1008:109a,0002:109a,SPECIAL[11]
rgmines,1008:12ec,0002:12ec,MINES[10]
rgmining,1008:1508,0002:1508,MINING[8]
rgplanetary,1008:16b8,0002:16b8,PLANETARY[15]
rgterra,1008:19e2,0002:19e2,TERRA[20]
rgbomb,1008:1e1a,0002:1e1a,BOMB[15]
rgtorp,1008:2180,0002:2180,TORP[12]
rgbeam,1008:2450,0002:2450,BEAM[24]
rghuldef,1008:29f0,0002:29f0,HULDEF[32]
rgshdefT,1008:3bd0,0002:3bd0,SHDEF[22]
rghuldefSB,1008:4872,0002:4872,HULDEF[5]
rgshdefSBT,1008:4b3e,0002:4b3e,SHDEF[4]
rgspecialSB,1008:4d8a,0002:4d8a,SPECIALSB[16]
aSTRCmpr,1010:0000,0003:0000,char[28209]
acSTR,1010:6e32,0003:6e32,uint8_t[1414]
aiSTRChunkOffset,1010:73b8,0003:73b8,int16_t[23]
rgSTRLookupTable,1010:73e6,0003:73e6,char[84]
vrgbShuffleSerial,1020:2870,0005:2870,uint8_t[21]
rgTOWidth,1020:7702,0005:7702,char[2][2]
aMSGCmpr,1030:0000,0007:0000,char[22836]
acMSG,1030:5934,0007:5934,uint8_t[387]
aiMSGChunkOffset,1030:5ab8,0007:5ab8,int16_t[7]
rgMSGLookupTable,1030:5ac6,0007:5ac6,char[72]
rgcMsgArgs,1030:5b0e,0007:5b0e,char[387]
vrgbTachyon,1038:50be,0008:50be,uint8_t[18]
rgDSDivCnt,1038:5f7e,0008:5f7e,int32_t[5]
rgcrDrawStars,1038:5f92,0008:5f92,uint32_t[5]
rgDSDivCnt2,1038:5fa6,0008:5fa6,int32_t[5]
rgcrDrawStars2a,1038:5fba,0008:5fba,uint32_t[5]
rgcrDrawStars2b,1038:5fce,0008:5fce,uint32_t[5]
aPNCmpr,1040:0000,0009:0000,char[4099]
acPN,1040:1004,0009:1004,uint8_t[999]
aiPNChunkOffset,1040:13ec,0009:13ec,int16_t[16]
rgPNLookupTable,1040:140c,0009:140c,char[52]
rgPrimes,1040:14ea,0009:14ea,int16_t[128]
vrgPopRad,1058:0000,000c:0000,int16_t[19]
rgcrScanMine,1058:0026,000c:0026,uint32_t[3]
vrgTBBtn,1068:0000,000e:0000,char[29]
vrgpctZoom,1068:0da4,000e:0da4,int16_t[9]
mpishdefishTutor,1070:0000,000f:0000,char[6]
vrgWormholeMin,1078:0000,0010:0000,uint8_t[5]
vrgWormholeVar,1078:0006,0010:0006,uint8_t[5]
rgbtlplanT,1078:000c,0010:000c,BTLPLAN[5]
rgNG3Width,1078:9d4c,0010:9d4c,char[2][9]
vrgplrComp,1078:a370,0010:a370,PLAYER[4][6]
vrgvcMax,1078:b5a8,0010:b5a8,int16_t[10]
vrgAiRobotoidResOrder,1088:02ee,0012:02ee,uint8_t[36]
vrgRobIshAip,1088:1f34,0012:1f34,uint16_t[38]
vrgRobAip,1088:1f80,0012:1f80,uint8_t[301]
vrgTDIshAip,1088:35ae,0012:35ae,uint8_t[19]
vrgTDAip,1088:35c2,0012:35c2,uint8_t[141]
vrgAiTurinDroneResOrder,1088:3650,0012:3650,uint8_t[31]
vrgAiParts,1090:0000,0013:0000,AIPART[150]
vrgSBAip,1090:7688,0013:7688,uint8_t[85]
vrgSBMacAisb,1090:76de,0013:76de,uint8_t[6]
vrgAiPacketDist,1090:7dce,0013:7dce,int32_t[2]
vrgISIshAip,1098:0064,0014:0064,uint8_t[19]
vrgISAip,1098:0078,0014:0078,uint8_t[182]
vrgAiISResOrder,1098:01ce,0014:01ce,uint8_t[18]
vrgAiMacintiResOrder,10a0:0000,0015:0000,uint8_t[8]
vrgMacIshAip,10a0:2a06,0015:2a06,uint16_t[31]
vrgMacAip,10a0:2a44,0015:2a44,uint8_t[248]
vrgAiCybertronResOrder,10a8:0000,0016:0000,uint8_t[42]
vrgCyberIshAip,10a8:46b0,0016:46b0,uint16_t[36]
vrgCyberAip,10a8:46f8,0016:46f8,uint8_t[301]
rgrgdmgMine,10b0:4f3c,0017:4f3c,int16_t[2][3]
rgrgdmgMinMine,10b0:4f48,0017:4f48,int16_t[2][3]
rgpctMineHit,10b0:4f54,0017:4f54,int16_t[3]
rgiWarpSafe,10b0:4f5a,0017:4f5a,int16_t[3]
mpimdgrbitBU,10c0:0138,0019:0138,uint16_t[8]
rghstCat,10c8:0000,001a:0000,HullSlotType[14]
rgidsCat,10c8:001c,001a:001c,StringId[14]
rggrbitParts,10c8:0038,001a:0038,uint16_t[13]
rgidsParts,10c8:0052,001a:0052,int16_t[13]
rggrbitPartsSB,10c8:006c,001a:006c,uint16_t[8]
rgidsPartsSB,10c8:007c,001a:007c,int16_t[8]
rglTechCost,10d8:1d4e,001c:1d4e,int32_t[27]
rggrbitBrParts,10d8:1eb6,001c:1eb6,uint16_t[17]
rgRW3Spacing,10e0:2a8c,001d:2a8c,char[7]
rgRW3Width,10e0:2a94,001d:2a94,char[7]
rgRW3IStat,10e0:2a9c,001d:2a9c,char[7]
rgRaceStatMin,10e0:30f4,001d:30f4,char[16]
rgRaceStatMax,10e0:3104,001d:3104,char[16]
rgRacePrimaryTrait,10e0:4410,001d:4410,int16_t[10]
rgRaceAdvDisPts,10e0:4424,001d:4424,int16_t[14]
rgRaceDisEnvPts,10e0:4440,001d:4440,int16_t[6]
rgbrcStart,10f0:0000,001f:0000,uint8_t[136]
rgiaQuikDrop,10f8:0f94,0020:0f94,ITEMACTION[5]
rgiaQuikLoad,10f8:0f9e,0020:0f9e,ITEMACTION[5]
rgiaUnloadAllCol,10f8:0fa8,0020:0fa8,ITEMACTION[5]
rgiaLoadAllCol,10f8:0fb2,0020:0fb2,ITEMACTION[5]
rgzpqTut,10f8:663a,0020:663a,ZIPPRODQ1[2]
aTUTCmpr,1100:0000,0021:0000,char[22323]
acTUT,1100:5734,0021:5734,uint8_t[640]
aiTUTChunkOffset,1100:59b4,0021:59b4,int16_t[10]
rgTUTLookupTable,1100:59c8,0021:59c8,char[76]
mpicolgrbitBU,1108:0000,0022:0000,uint16_t[12]
hbrButtonFace,1120:0010,0025:0010,HBRUSH
hbrButtonText,1120:0012,0025:0012,HBRUSH
hbrButtonHilite,1120:0014,0025:0014,HBRUSH
hbrButtonShadow,1120:0016,0025:0016,HBRUSH
hbrWindow,1120:0018,0025:0018,HBRUSH
hbrWindowText,1120:001a,0025:001a,HBRUSH
hbrWindowFrame,1120:001c,0025:001c,HBRUSH
hbrDesktop,1120:001e,0025:001e,HBRUSH
hbrLightGray,1120:0020,0025:0020,HBRUSH
hbrGray,1120:0022,0025:0022,HBRUSH
hbrRed,1120:0024,0025:0024,HBRUSH
hbrGreen,1120:0026,0025:0026,HBRUSH
hbrBlue,1120:0028,0025:0028,HBRUSH
lpfnTutorDlgProc,1120:002a,0025:002a,int32_t() *
rgcrPlrHistory,1120:002e,0025:002e,uint32_t[16]
penvMem,1120:006e,0025:006e,jmp_buf[9] *
game,1120:0070,0025:0070,GAME
dGal,1120:00f0,0025:00f0,int16_t
dGalInv,1120:00f2,0025:00f2,int16_t
dGalMinDist,1120:00f4,0025:00f4,int16_t
lpPlanets,1120:00f6,0025:00f6,PLANET *
rglpfl,1120:00fa,0025:00fa,FLEET * *
rglpshdef,1120:00fe,0025:00fe,SHDEF *[16]
szHelpFile,1120:014a,0025:014a,char *
rglpshdefSB,1120:014c,0025:014c,SHDEF *[16]
idPlayer,1120:018c,0025:018c,int16_t
hwndBrowser,1120:018e,0025:018e,HWND
hwndScanner,1120:0190,0025:0190,HWND
hwndActive,1120:0192,0025:0192,HWND
hwndMine,1120:0194,0025:0194,HWND
hwndPlanet,1120:0196,0025:0196,HWND
hwndMessage,1120:0198,0025:0198,HWND
hwndTb,1120:019a,0025:019a,HWND
fLogOut,1120:019c,0025:019c,int16_t
lpchBatch,1120:019e,0025:019e,char *
uTimerId,1120:01a2,0025:01a2,uint16_t
uTimerType,1120:01a4,0025:01a4,uint16_t
PCTD,1120:01aa,0025:01aa,char *
PCTLD,1120:01b0,0025:01b0,char *
PCTDPCTPCT,1120:01b8,0025:01b8,char *
PCTDKT,1120:01c0,0025:01c0,char *
MPCTD,1120:01c6,0025:01c6,char *
PCTDXPCTDPCTPCT,1120:01d0,0025:01d0,char *
ctickLast,1120:01d2,0025:01d2,uint32_t
szFrame,1120:01d6,0025:01d6,char[11]
szScan,1120:01e2,0025:01e2,char[10]
szMine,1120:01ec,0025:01ec,char[10]
szPlanet,1120:01f6,0025:01f6,char[12]
szMessage,1120:0202,0025:0202,char[13]
szPopup,1120:0210,0025:0210,char[11]
szBrowser,1120:021c,0025:021c,char[13]
szTitle,1120:022a,0025:022a,char[11]
szReport,1120:0236,0025:0236,char[12]
szTb,1120:0242,0025:0242,char[8]
szTooltip,1120:024a,0025:024a,char[8]
szDirName,1120:0252,0025:0252,char[256]
hwndTitle,1120:0352,0025:0352,HWND
fFreeingTitle,1120:0354,0025:0354,int16_t
hiconStars,1120:0356,0025:0356,HICON
hiconHost,1120:0358,0025:0358,HICON
hiconWait,1120:035a,0025:035a,HICON
lSaltCur,1120:035c,0025:035c,int32_t
lSaltLast,1120:0360,0025:0360,int32_t
vretExitValue,1120:038c,0025:038c,int16_t
iPassCnt,1120:03d2,0025:03d2,int16_t
fProcessingTimer,1120:0414,0025:0414,int16_t
ptStickyHostModeDlg,1120:0416,0025:0416,POINT
vhpalSplash,1120:042e,0025:042e,uint16_t
vhdibTitle,1120:0430,0025:0430,uint16_t
rghwndBtnSplash,1120:0432,0025:0432,uint16_t[4]
rgcrMinerals,1120:0448,0025:0448,uint32_t[6]
rgszPlanetAttr,1120:047e,0025:047e,char *[3]
rgszPlanetAttrAbbr,1120:0492,0025:0492,char *[3]
rgszMinerals,1120:04cc,0025:04cc,char *[6]
rgszMineField,1120:04f2,0025:04f2,char *[3]
cMinGrafMax,1120:04f8,0025:04f8,int16_t
mpiTypeiItem,1120:050a,0025:050a,uint8_t[3]
mpdtsz,1120:0552,0025:0552,char *[8]
fOrdersVis,1120:0586,0025:0586,int16_t
grbitScan,1120:0588,0025:0588,uint16_t
vpctRadarView,1120:058a,0025:058a,int16_t
vrgScanPO,1120:058c,0025:058c,int16_t[5][2]
iScanZoom,1120:05a0,0025:05a0,int16_t
fInScrollSet,1120:05cc,0025:05cc,int16_t
