name,ghidra_addr,ne_addr,signature
FCreateStuff,1000:0014,0001:0014,"int16_t FCreateStuff()"
FCreateFonts,1000:0ab2,0001:0ab2,"int16_t FCreateFonts(HDC hdc)"
InitInstance,1000:0d70,0001:0d70,"int16_t InitInstance(int16_t nCmdShow)"
InitTiles,1000:0eaa,0001:0eaa,"void InitTiles()"
GetIniWinRc,1000:1020,0001:1020,"void GetIniWinRc(char *szSection, char *szIniFile, StringId ids, WN *pwn)"
ReadIniSettings,1000:124c,0001:124c,"void ReadIniSettings()"
ReadIniTileSettings,1000:2b8a,0001:2b8a,"void ReadIniTileSettings(char *pszFormat, TILE *rgtile, int16_t ctile)"
LphuldefSBFromId,1008:510a,0002:510a,"HULDEF * LphuldefSBFromId(int16_t id)"
LphuldefFromId,1008:512c,0002:512c,"HULDEF * LphuldefFromId(int16_t id)"
LpengineFromId,1008:5168,0002:5168,"ENGINE * LpengineFromId(int16_t id)"
LpscannerFromId,1008:518a,0002:518a,"SCANNER * LpscannerFromId(int16_t id)"
LpshdefT,1008:51ac,0002:51ac,"SHDEF * LpshdefT()"
LpshdefSBT,1008:51c4,0002:51c4,"SHDEF * LpshdefSBT()"
LpplanetaryFromId,1008:51dc,0002:51dc,"PLANETARY * LpplanetaryFromId(int16_t id)"
FLookupPartX,1008:51fe,0002:51fe,"int16_t FLookupPartX(PART *ppart, uint16_t grhst, uint16_t iItem)"
FLookupPart,1008:524e,0002:524e,"int16_t FLookupPart(PART *ppart)"
LookupBestPlanetaryScanner,1008:60be,0002:60be,"void LookupBestPlanetaryScanner(PART *ppart)"
TechStatus,1008:6148,0002:6148,"int16_t TechStatus(char *rgTech)"
PszGetCompressedString,1010:743a,0003:743a,"char * PszGetCompressedString(StringId ids)"
WinMain,1018:0000,0004:0000,"int16_t WinMain(uint16_t hInstance, uint16_t hPrevInstance, char *lpCmdLine, int16_t nCmdShow)"
FSetUpBatchProcessing,1018:06a4,0004:06a4,"int16_t FSetUpBatchProcessing()"
IPlrAlsoCheater,1018:07aa,0004:07aa,"int16_t IPlrAlsoCheater(int16_t iplr)"
FGetSystemColors,1018:08d2,0004:08d2,"int16_t FGetSystemColors()"
FreeStuff,1018:0bae,0004:0bae,"void FreeStuff()"
SzVersion,1018:1212,0004:1212,"char * SzVersion()"
About,1018:1252,0004:1252,"int16_t About(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
OrderInfoDlg,1018:151e,0004:151e,"int16_t OrderInfoDlg(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
FHandleChar,1018:15de,0004:15de,"int16_t FHandleChar(HWND hwnd, uint16_t ch, int32_t lParam)"
FHandleKey,1018:165a,0004:165a,"int16_t FHandleKey(HWND hwnd, int16_t iMsg, int16_t iKey, uint32_t dw)"
InitMDIApp,1020:0000,0005:0000,"int16_t InitMDIApp()"
CreateChildWindows,1020:038c,0005:038c,"void CreateChildWindows()"
FrameWndProc,1020:06d6,0005:06d6,"int32_t FrameWndProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
InvertPaneBorder,1020:1e3c,0005:1e3c,"POINT InvertPaneBorder(HDC hdc, int16_t grSel, POINT dpt, POINT *pdptPrev)"
HcrsFromFrameWindowPt,1020:24b0,0005:24b0,"uint16_t HcrsFromFrameWindowPt(POINT pt, int16_t *pgrSel)"
RestoreSelection,1020:2614,0005:2614,"void RestoreSelection()"
FormatSerialAndEnv,1020:2886,0005:2886,"void FormatSerialAndEnv(int32_t lSerial, uint8_t *pbEnv, char *pszOut)"
FSerialAndEnvFromSz,1020:2aec,0005:2aec,"int16_t FSerialAndEnvFromSz(int32_t *plSerial, uint8_t *pbEnv, char *pszIn)"
FFindSomethingAndSelectIt,1020:2e1c,0005:2e1c,"int16_t FFindSomethingAndSelectIt()"
CommandHandler,1020:2f7a,0005:2f7a,"void CommandHandler(HWND hwnd, uint16_t wParam)"
InitializeMenu,1020:5376,0005:5376,"void InitializeMenu(HMENU hmenu)"
EnsureAis,1020:56bc,0005:56bc,"void EnsureAis()"
GetASubMenu,1020:589a,0005:589a,"uint16_t GetASubMenu(HWND hwnd, int16_t iMenu)"
FOpenGame,1020:58f4,0005:58f4,"int16_t FOpenGame(HWND hwnd, int16_t fRaceOnly)"
FWasRaceFile,1020:5da8,0005:5da8,"int16_t FWasRaceFile(char *szFile, int16_t fChkPass)"
BringUpHostDlg,1020:5ffc,0005:5ffc,"void BringUpHostDlg()"
DrawHostDialog2,1020:6240,0005:6240,"void DrawHostDialog2(HWND hwnd, HDC hdcIn)"
VerifyTurns,1020:6686,0005:6686,"void VerifyTurns()"
CTurnsOutSafe,1020:6996,0005:6996,"int16_t CTurnsOutSafe()"
CFindTurnsOutstanding,1020:6a26,0005:6a26,"int16_t CFindTurnsOutstanding()"
HostModeDialog,1020:6c16,0005:6c16,"int16_t HostModeDialog(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
HostOptionsDialog,1020:75ce,0005:75ce,"int16_t HostOptionsDialog(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
DrawHostOptions,1020:7706,0005:7706,"void DrawHostOptions(HWND hwnd, HDC hdc, int16_t iDraw)"
HostTimerProc,1020:7716,0005:7716,"void HostTimerProc(HWND hwnd, WMType msg, uint16_t idTimer, uint32_t dwTime)"
GetWindowRc,1020:79ac,0005:79ac,"void GetWindowRc(HWND hwnd, RECT *prc)"
SetWindowIniString,1020:79f6,0005:79f6,"void SetWindowIniString(char *sz, HWND hwnd)"
WriteIniSettings,1020:7a76,0005:7a76,"void WriteIniSettings()"
RefitFrameChildren,1020:8c88,0005:8c88,"void RefitFrameChildren()"
TitleWndProc,1020:9126,0005:9126,"int32_t TitleWndProc(HWND hwnd, WMType msg, uint16_t wParam, int32_t lParam)"
MineWndProc,1028:0000,0006:0000,"int32_t MineWndProc(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
InvalidateMineralBars,1028:040a,0006:040a,"void InvalidateMineralBars()"
GetMineFieldCounts,1028:05ac,0006:05ac,"void GetMineFieldCounts(uint16_t id, int16_t *pithm, int16_t *pcthm)"
DrawMineSurvey,1028:065a,0006:065a,"void DrawMineSurvey(HDC hdc, RECT *prc)"
HtMineWindow,1028:37ac,0006:37ac,"HtMineType HtMineWindow(HWND hwnd, int16_t x, int16_t y)"
MineClick,1028:3b4e,0006:3b4e,"void MineClick(int16_t x, int16_t y, int16_t msg, int16_t sks)"
SetMineralTitleBar,1028:47dc,0006:47dc,"void SetMineralTitleBar(HWND hwnd)"
DrawSelectionArrow,1028:4a68,0006:4a68,"void DrawSelectionArrow(HDC hdc, RECT *prc, int16_t fEnabled)"
DrawDiamond,1028:4b60,0006:4b60,"void DrawDiamond(HDC hdc, RECT *prc, HBRUSH hbr)"
FOtherStuffAtScanSel,1028:4d6e,0006:4d6e,"int16_t FOtherStuffAtScanSel()"
PopupMineralScanChoices,1028:4ecc,0006:4ecc,"void PopupMineralScanChoices(HWND hwnd, int16_t x, int16_t y)"
EstMineralsMined,1028:5362,0006:5362,"void EstMineralsMined(PLANET *lppl, int32_t *plQuan, int32_t cMines, int16_t fApply)"
MessageWndProc,1030:5c92,0007:5c92,"int32_t MessageWndProc(HWND hwnd, WMType message, uint16_t wParam, int32_t lParam)"
SetMsgTitle,1030:7218,0007:7218,"void SetMsgTitle(HWND hwnd)"
IMsgNext,1030:7808,0007:7808,"int16_t IMsgNext(int16_t fFilteredOnly)"
IMsgPrev,1030:78d8,0007:78d8,"int16_t IMsgPrev(int16_t fFilteredOnly)"
DecorateMsgTitleBar,1030:799c,0007:799c,"void DecorateMsgTitleBar(HDC hdc, RECT *prc)"
HtMsgBox,1030:7d8c,0007:7d8c,"HtMsgType HtMsgBox(POINT pt)"
FSendPlrMsg2,1030:7eaa,0007:7eaa,"int16_t FSendPlrMsg2(int16_t iPlr, int16_t iMsg, int16_t iObj, int16_t p1, int16_t p2)"
FSendPlrMsg,1030:7ee8,0007:7ee8,"int16_t FSendPlrMsg(int16_t iPlr, int16_t iMsg, int16_t iObj, int16_t p1, int16_t p2, int16_t p3, int16_t p4, int16_t p5, int16_t p6, int16_t p7)"
FSendPrependedPlrMsg,1030:7f80,0007:7f80,"int16_t FSendPrependedPlrMsg(int16_t iPlr, int16_t iMsg, int16_t iObj, int16_t p1, int16_t p2, int16_t p3, int16_t p4, int16_t p5, int16_t p6, int16_t p7)"
PackageUpMsg,1030:802a,0007:802a,"int16_t PackageUpMsg(uint8_t *pb, int16_t iPlr, int16_t iMsg, int16_t iObj, int16_t p1, int16_t p2, int16_t p3, int16_t p4, int16_t p5, int16_t p6, int16_t p7)"
