name,size
AIHIST,1284
AIPART,2
AISTARBASE,20
ARMOR,54
BEAM,60
BOMB,58
BTLDATA,14
BTLPLAN,36
BTLREC,6
BTLREC26,6
BTN,14
BTNT,24
COLDROP,12
COMPART,52
CYBERINFO,2
CYBERINFOTEMP,2
DRAWCIR,24
DV,2
ENGINE,78
FLEET,124
FLEETID,2
FLEETSOME,12
FRAMESTUFF,22
GAME,64
GDATA,10
HB,16
HDR,2
HS,4
HUL,123
HULDEF,143
INI,26
ITEMACTION,2
KILL,8
LOGXFER,24
LOGXFERF,36
LSB,4
MDPLR,2
MINES,54
MINING,54
MSGBIG,18
MSGHDR,4
MSGPLR,12
MSGTURN,5
OBJ,2
ORDER,18
PART,8
PL,4
PLANET,56
PLANETARY,54
PLANETMINIMAL,6
PLANETSOME,23
PLAYER,192
PLORD,4
PLPROD,4
POPUPDATA,22
PROD,4
PRODQ1,2
RPT,54
RTBOF,16
RTCHGNAME,37
RTCHGPLANETLONG,6
RTCHGPRODQ,2
RTCHGSHDEF,19
RTHISTHDR,4
RTLOGHDR,17
RTLOGTHING,4
RTPLANET,4
RTSHDEF,17
RTSHIPINT,4
RTSHIPINT2,6
RTWAYPT,22
RTXFER,7
RTXFERF,9
RTXFERL,10
RTXFERX,8
SBAR,12
SCAN,16
SCANNER,56
SCORE,20
SCOREX,24
SEL,226
SELSOME,28
SHDEF,147
SHIELD,54
SPECIAL,54
SPECIALSB,56
STARPACK,4
TASKLAYMINES,4
TASKPATROL,4
TASKSELL,2
TASKXPORT,10
TERRA,54
THING,18
THMINE,10
THPACK,10
THTRADER,10
THWORM,8
TILE,16
TIMER,10
TOK,29
TORP,60
TURNSERIAL,16
TUTOR,44
VERS,2
WN,10
XFER,128
XFERFULL,25
ZIPORDER,24
ZIPPRODQ,40
ZIPPRODQ1,26
