name,ghidra_addr,ne_addr
FCreateStuff,1000:0014,0001:0014
FCreateFonts,1000:0ab2,0001:0ab2
InitInstance,1000:0d70,0001:0d70
InitTiles,1000:0eaa,0001:0eaa
GetIniWinRc,1000:1020,0001:1020
ReadIniSettings,1000:124c,0001:124c
ReadIniTileSettings,1000:2b8a,0001:2b8a
LphuldefSBFromId,1008:510a,0002:510a
LphuldefFromId,1008:512c,0002:512c
LpengineFromId,1008:5168,0002:5168
LpscannerFromId,1008:518a,0002:518a
LpshdefT,1008:51ac,0002:51ac
LpshdefSBT,1008:51c4,0002:51c4
LpplanetaryFromId,1008:51dc,0002:51dc
FLookupPartX,1008:51fe,0002:51fe
FLookupPart,1008:524e,0002:524e
LookupBestPlanetaryScanner,1008:60be,0002:60be
TechStatus,1008:6148,0002:6148
PszGetCompressedString,1010:743a,0003:743a
WinMain,1018:0000,0004:0000
FSetUpBatchProcessing,1018:06a4,0004:06a4
IPlrAlsoCheater,1018:07aa,0004:07aa
FGetSystemColors,1018:08d2,0004:08d2
FreeStuff,1018:0bae,0004:0bae
SzVersion,1018:1212,0004:1212
About,1018:1252,0004:1252
OrderInfoDlg,1018:151e,0004:151e
FHandleChar,1018:15de,0004:15de
FHandleKey,1018:165a,0004:165a
InitMDIApp,1020:0000,0005:0000
CreateChildWindows,1020:038c,0005:038c
FrameWndProc,1020:06d6,0005:06d6
InvertPaneBorder,1020:1e3c,0005:1e3c
HcrsFromFrameWindowPt,1020:24b0,0005:24b0
RestoreSelection,1020:2614,0005:2614
FormatSerialAndEnv,1020:2886,0005:2886
FSerialAndEnvFromSz,1020:2aec,0005:2aec
FFindSomethingAndSelectIt,1020:2e1c,0005:2e1c
CommandHandler,1020:2f7a,0005:2f7a
InitializeMenu,1020:5376,0005:5376
EnsureAis,1020:56bc,0005:56bc
GetASubMenu,1020:589a,0005:589a
FOpenGame,1020:58f4,0005:58f4
FWasRaceFile,1020:5da8,0005:5da8
BringUpHostDlg,1020:5ffc,0005:5ffc
DrawHostDialog2,1020:6240,0005:6240
VerifyTurns,1020:6686,0005:6686
CTurnsOutSafe,1020:6996,0005:6996
CFindTurnsOutstanding,1020:6a26,0005:6a26
HostModeDialog,1020:6c16,0005:6c16
HostOptionsDialog,1020:75ce,0005:75ce
DrawHostOptions,1020:7706,0005:7706
HostTimerProc,1020:7716,0005:7716
GetWindowRc,1020:79ac,0005:79ac
SetWindowIniString,1020:79f6,0005:79f6
WriteIniSettings,1020:7a76,0005:7a76
RefitFrameChildren,1020:8c88,0005:8c88
TitleWndProc,1020:9126,0005:9126
MineWndProc,1028:0000,0006:0000
InvalidateMineralBars,1028:040a,0006:040a
GetMineFieldCounts,1028:05ac,0006:05ac
DrawMineSurvey,1028:065a,0006:065a
HtMineWindow,1028:37ac,0006:37ac
MineClick,1028:3b4e,0006:3b4e
SetMineralTitleBar,1028:47dc,0006:47dc
DrawSelectionArrow,1028:4a68,0006:4a68
DrawDiamond,1028:4b60,0006:4b60
FOtherStuffAtScanSel,1028:4d6e,0006:4d6e
PopupMineralScanChoices,1028:4ecc,0006:4ecc
EstMineralsMined,1028:5362,0006:5362
MessageWndProc,1030:5c92,0007:5c92
SetMsgTitle,1030:7218,0007:7218
IMsgNext,1030:7808,0007:7808
IMsgPrev,1030:78d8,0007:78d8
DecorateMsgTitleBar,1030:799c,0007:799c
HtMsgBox,1030:7d8c,0007:7d8c
FSendPlrMsg2,1030:7eaa,0007:7eaa
FSendPlrMsg,1030:7ee8,0007:7ee8
FSendPrependedPlrMsg,1030:7f80,0007:7f80
PackageUpMsg,1030:802a,0007:802a
FSendPlrMsg2XGen,1030:823a,0007:823a
IdmGetMessageN,1030:8412,0007:8412
FGetNMsgbig,1030:8444,0007:8444
PszGetMessageN,1030:8580,0007:8580
PszFormatString,1030:85cc,0007:85cc
MsgDlg,1030:8f68,0007:8f68
PszFormatMessage,1030:9220,0007:9220
PszFormatIds,1030:924c,0007:924c
FRemovePlayerMessage,1030:9278,0007:9278
FFindPlayerMessage,1030:932a,0007:932a
MarkPlanetsPlayerLost,1030:93c6,0007:93c6
MarkPlayersThatSentMsgs,1030:9604,0007:9604
WritePlayerMessages,1030:9702,0007:9702
ResetMessages,1030:98d6,0007:98d6
ReadPlayerMessages,1030:994a,0007:994a
FFinishPlrMsgEntry,1030:9bd6,0007:9bd6
PszGetCompressedMessage,1030:9eb8,0007:9eb8
SetFilteringGroups,1030:a018,0007:a018
FLookupSelPlanet,1038:0000,0008:0000
FDupPlanet,1038:0032,0008:0032
LpthFromId,1038:01b2,0008:01b2
LpplFromId,1038:021e,0008:021e
CalcPctSurvive,1038:02f6,0008:02f6
FLookupPlanet,1038:04a6,0008:04a6
DpOfLpflIshdef,1038:0746,0008:0746
FLookupThing,1038:07fe,0008:07fe
SelectOursAtObject,1038:08f2,0008:08f2
LComputePower,1038:0b32,0008:0b32
ComputeShdefPowers,1038:0e4e,0008:0e4e
DpShieldOfShdef,1038:0f24,0008:0f24
IStargateFromLppl,1038:10fa,0008:10fa
PszPlayerName,1038:11f2,0008:11f2
FCalcFleetBombDamage,1038:145c,0008:145c
LinkFleets,1038:1bb4,0008:1bb4
ICompFleetPoint,1038:1f0c,0008:1f0c
ICompFleetPoint2,1038:1fa2,0008:1fa2
FLookupSelShip,1038:2032,0008:2032
LpflFromId,1038:2078,0008:2078
FLookupFleet,1038:2160,0008:2160
FDupFleet,1038:2332,0008:2332
FLookupObject,1038:24a0,0008:24a0
FLookupOrbitingXfer,1038:24fa,0008:24fa
PszGetThingName,1038:26de,0008:26de
PszGetFleetName,1038:292c,0008:292c
WFromLpfl,1038:2b10,0008:2b10
PszFleetNameFromWord,1038:2b5e,0008:2b5e
PszGetPlanetName,1038:2c6a,0008:2c6a
IflFromLpfl,1038:2ce8,0008:2ce8
FDeleteFleet,1038:2d44,0008:2d44
LpflNew,1038:300c,0008:300c
LpflNewSplit,1038:3372,0008:3372
FFleetMergeAll,1038:34d8,0008:34d8
FFleetSplitAll,1038:3a00,0008:3a00
PszGetLocName,1038:3b08,0008:3b08
CchGetETA,1038:3bc8,0008:3bc8
IshdefPrimaryFromLpfl,1038:3e1c,0008:3e1c
PszGetDistance,1038:3f00,0008:3f00
DGetDistance,1038:3fe4,0008:3fe4
FFindNearestObject,1038:4070,0008:4070
UpdateShdefCost,1038:47b0,0008:47b0
WPackLong,1038:4ba2,0008:4ba2
GetPlanetScannerRange,1038:4c02,0008:4c02
GetCachedFleetScannerRange,1038:4e02,0008:4e02
GetFleetScannerRange,1038:4fb8,0008:4fb8
GetShdefScannerRange,1038:50d0,0008:50d0
LCalcFuelGainFromRamScoops,1038:56b8,0008:56b8
CalcPlayerScore,1038:58a6,0008:58a6
GetTrueHullCost,1038:5dba,0008:5dba
DecorateHullName,1038:5e0e,0008:5e0e
DrawABunchOfStars,1038:5fe2,0008:5fe2
LongFromSerialCh,1038:6280,0008:6280
FValidSerialNo,1038:62f8,0008:62f8
FMatchTarget,1038:6612,0008:6612
ValidateWaypoints,1038:68c6,0008:68c6
ChgPopFromPlanet,1038:7082,0008:7082
FCanFleetUseStargates,1038:75e2,0008:75e2
FFleetCanJumpgate,1038:7960,0008:7960
WtFromLpfl,1038:7a68,0008:7a68
FCanBuildShdef,1038:7b40,0008:7b40
IshFindSimilarDesign,1038:7c5e,0008:7c5e
DrawPlanetPrintDot,1038:7e44,0008:7e44
ClearFile,1038:7f6a,0008:7f6a
OutputSz,1038:7fe6,0008:7fe6
TurnLog,1038:80c2,0008:80c2
PushRandom,1040:1440,0009:1440
PopRandom,1040:14a2,0009:14a2
Randomize,1040:15ea,0009:15ea
Randomize2,1040:165a,0009:165a
Random,1040:16d2,0009:16d2
RandomSeedDlg,1040:188a,0009:188a
GetFileSeeds,1040:1a4e,0009:1a4e
SetFileSeeds,1040:1a7c,0009:1a7c
SetFileXorStream,1040:1aa6,0009:1aa6
LGetNextFileXor,1040:1b54,0009:1b54
XorFileBuf,1040:1cc4,0009:1cc4
ICompLong,1040:1d74,0009:1d74
PszGetCompressedPlanet,1040:1d96,0009:1d96
OutputFileString,1040:1f64,0009:1f64
CopyFile,1040:1ffa,0009:1ffa
AlertSz,1040:2160,0009:2160
CchGetString,1040:221e,0009:221e
PszFromInt,1040:2274,0009:2274
PszFromLong,1040:22b6,0009:22b6
PszFromLongK,1040:22fe,0009:22fe
CommaFormatLong,1040:2440,0009:2440
CtrTextOut,1040:2534,0009:2534
DxStreamTextOut,1040:2590,0009:2590
WrapTextOut,1040:25fe,0009:25fe
AddBackTrailingSpaces,1040:280c,0009:280c
ChopLastWord,1040:2842,0009:2842
ChopTrailingSpaces,1040:28c6,0009:28c6
RcCtrTextOut,1040:28fc,0009:28fc
RightTextOut,1040:29d6,0009:29d6
DiaganolTextOut,1040:2afa,0009:2afa
ExpandRc,1040:2f0c,0009:2f0c
OffsetRc,1040:2f3e,0009:2f3e
BoundPoints,1040:2f70,0009:2f70
StickyDlgPos,1040:3094,0009:3094
LDrawGauge,1040:31a2,0009:31a2
_Draw3dFrame,1040:336a,0009:336a
InitBtnTrack,1040:354c,0009:354c
FTrackBtn,1040:364a,0009:364a
DrawBtn,1040:38b8,0009:38b8
FGetMouseMove,1040:4146,0009:4146
FGetRMouseMove,1040:41e0,0009:41e0
DrawFuzzyBorder,1040:427a,0009:427a
FStringFitsScreen,1040:43aa,0009:43aa
HbrGet,1040:4448,0009:4448
FreeHbr,1040:4532,0009:4532
FCompressUserString,1040:45a0,0009:45a0
FDecompressUserString,1040:46e8,0009:46e8
NybbleFromCh,1040:4880,0009:4880
ChFromNybble,1040:49ea,0009:49ea
DibNumColors,1040:4a9a,0009:4a9a
HpalFromDib,1040:4b50,0009:4b50
HpalBlackReserved,1040:4c9c,0009:4c9c
PaletteSize,1040:4d60,0009:4d60
DibBlt,1040:4db8,0009:4db8
DibFromBitmap,1040:4e90,0009:4e90
HdibLoadBigResource,1040:5220,0009:5220
ReadBigBlock,1040:5310,0009:5310
FIntersectCircleLine,1040:53b4,0009:53b4
IntToRoman,1040:5830,0009:5830
FCheckPassword,1040:58d8,0009:58d8
LSaltFromSz,1040:59ce,0009:59ce
PasswordDlg,1040:5a72,0009:5a72
NewPasswordDlg,1040:5cba,0009:5cba
GetDiskSerialNumber,1040:5fc0,0009:5fc0
ShowProgressGauge,1040:636c,0009:636c
HideProgressGauge,1040:63b2,0009:63b2
UpdateProgressGauge,1040:63da,0009:63da
ProgressGaugeDlg,1040:647e,0009:647e
DrawProgressGauge,1040:65f6,0009:65f6
LDistance2,1040:685c,0009:685c
PszGetLine,1040:68ba,0009:68ba
CParseNumbers,1040:6986,0009:6986
HfontPrinterCreate,1040:6aa6,0009:6aa6
PlanetWndProc,1048:0000,000a:0000
DrawPlanShip,1048:0d16,000a:0d16
FDrawTileNC,1048:1086,000a:1086
DrawPlanetMinSum,1048:12b2,000a:12b2
DrawPlanetStats,1048:1716,000a:1716
FGetBestDefensePart,1048:21f6,000a:21f6
DrawPlanetStarbase,1048:22cc,000a:22cc
DrawMassWarpGauge,1048:2afa,000a:2afa
DrawPlanetProduction,1048:2c38,000a:2c38
PszProductionETA,1048:310c,000a:310c
DrawPlanShipBitmap,1048:3336,000a:3336
DrawPlanetShipList,1048:377e,000a:377e
SetPlanetTitleBar,1048:3dec,000a:3dec
ChangeMainObjSel,1048:3e7a,000a:3e7a
FillShipDD,1048:42a0,000a:42a0
SelectAdjPlanet,1048:44da,000a:44da
IdFindAdjStarbase,1048:474e,000a:474e
PlanetClick,1048:489e,000a:489e
ClickInPlanetOrders,1048:515c,000a:515c
EnsureTileSize,1048:587e,000a:587e
ReflowColumn,1048:5b80,000a:5b80
IBestTerraform,1048:5dd2,000a:5dd2
PszCalcEnvVar,1048:5fcc,000a:5fcc
PszCalcGravity,1048:6058,000a:6058
HandleFocusState,1048:60e6,000a:60e6
DrawCBEntireItem,1048:6128,000a:6128
DrawProductionItem,1048:6208,000a:6208
FillPlanetProdLB,1048:6692,000a:6692
PctPlanetCapacity,1048:6aca,000a:6aca
PctPlanetOptValue,1048:6b88,000a:6b88
PctPlanetDesirability,1048:6e1e,000a:6e1e
CalcPlanetMaxPop,1048:7096,000a:7096
CMaxMines,1048:7248,000a:7248
CMaxOperableMines,1048:7304,000a:7304
CMinesOperating,1048:73fc,000a:73fc
CFactoriesOperating,1048:74be,000a:74be
CMaxFactories,1048:755c,000a:755c
CMaxOperableFactories,1048:7618,000a:7618
CMaxDefenses,1048:7710,000a:7710
CMaxOperableDefenses,1048:77ae,000a:77ae
CResourcesAtPlanet,1048:788e,000a:788e
IWarpMAFromLppl,1048:7b10,000a:7b10
StargateRangeFromLppl,1048:7cfa,000a:7cfa
FProdIsTerra,1048:7e9a,000a:7e9a
IpctCanTerraformLppl,1048:7f56,000a:7f56
FCanTerraformLppl,1048:8022,000a:8022
UninhabitPlanet,1048:8732,000a:8732
PctCloakFromHuldef,1048:88c0,000a:88c0
LogSplitFleet,1048:8b0e,000a:8b0e
LogMergeFleet,1048:8b6c,000a:8b6c
LogChangeShDef,1048:8c28,000a:8c28
LogChangeName,1048:8d5a,000a:8d5a
LogChangeFleet,1048:8ebe,000a:8ebe
LogChangeRelations,1048:9340,000a:9340
LogChangeBtlplan,1048:93d0,000a:93d0
LogChangePlanet,1048:9420,000a:9420
LogChangeThing,1048:9908,000a:9908
LogMakeValidXfer,1048:99f6,000a:99f6
LogMakeValidXferf,1048:9fa6,000a:9fa6
CancelMemRt,1048:a108,000a:a108
WriteMemRt,1048:a130,000a:a130
DirtyGame,1048:a228,000a:a228
FGetPrevLogRt,1048:a25e,000a:a25e
FRunLogFile,1048:a2d6,000a:a2d6
FRunLogRecord,1048:a38c,000a:a38c
FLoadLogFile,1048:c7a2,000a:c7a2
FCheckLogFile,1048:cccc,000a:cccc
FWriteLogFile,1048:cdf6,000a:cdf6
FWriteTutorialMFile,1048:d058,000a:d058
FWriteHistFile,1048:d29e,000a:d29e
EnumLogRts,1048:d6e0,000a:d6e0
DrawShipOrders,1050:0000,000b:0000
DrawShipWayPtOrders,1050:0912,000b:0912
DrawShipPlanet,1050:17b6,000b:17b6
DrawShipCargo,1050:1a54,000b:1a54
DrawFleetComp,1050:1e72,000b:1e72
FCanSplit,1050:245c,000b:245c
FCanSplitAll,1050:24ae,000b:24ae
FCanMerge,1050:2522,000b:2522
ShipCommandProc,1050:2640,000b:2640
SelectAdjFleet,1050:3d32,000b:3d32
SetFleetDropDownSel,1050:400e,000b:400e
LGetFleetStat,1050:40f2,000b:40f2
WtMaxShdefStat,1050:41b2,000b:41b2
DrawFleetGauge,1050:44b6,000b:44b6
DrawFleetBitmap,1050:490e,000b:490e
FEnumCalcJettison,1050:4df4,000b:4df4
TransferStuff,1050:4faa,000b:4faa
TransferDlg,1050:5686,000b:5686
FTrackXfer,1050:5a16,000b:5a16
GetCargoFree,1050:5f98,000b:5f98
GetFuelFree,1050:6004,000b:6004
ChgCargo,1050:6034,000b:6034
XferSupply,1050:64cc,000b:64cc
UpdateXferBtns,1050:66a8,000b:66a8
DrawXferDlg,1050:6908,000b:6908
GetXferLeftRightRcs,1050:6b46,000b:6b46
FSetupXferBtns,1050:6bea,000b:6bea
DrawThingXferSide,1050:7088,000b:7088
DrawFleetCargoXferSide,1050:72de,000b:72de
DrawFleetShipsXferSide,1050:7726,000b:7726
DrawPlanetXferSide,1050:79ca,000b:79ca
ClickInShipOrders,1050:7cda,000b:7cda
FillFleetCompLB,1050:9166,000b:9166
FillOrdersLB,1050:928c,000b:928c
SetOrdersLbSel,1050:9354,000b:9354
UpdateOrdersDDs,1050:93ee,000b:93ee
FillBattleDD,1050:9a36,000b:9a36
DeleteCurWayPoint,1050:9b08,000b:9b08
DeleteWpFar,1050:9e28,000b:9e28
EstFuelUse,1050:9fe4,000b:9fe4
FakeEditProc,1050:a700,000b:a700
IFindIdealWarp,1050:a76e,000b:a76e
LFuelUseToWaypoint,1050:a9f4,000b:a9f4
FleetTransferCargoBalance,1050:ae74,000b:ae74
DestroyAllIshdefSB,1050:c280,000b:c280
DestroyAllIshdef,1050:c336,000b:c336
RemoveIshdefFromAllQueues,1050:c5e6,000b:c5e6
CshQueued,1050:c82c,000b:c82c
Merge2Fleets,1050:c9f6,000b:c9f6
FleetOrdersChangeTarget,1050:cafe,000b:cafe
